vx vy vz x y z beamid spotid
-0.0280816 -0.153192 -0.141803 -11.5533 -2.24157 7.67561 2 -102
-0.0111521 -0.167469 -0.157687 -11.5499 0.157555 7.25583 2 -101
-0.041021 -0.149033 -0.132202 -10.9729 -3.46919 7.87275 2 -100
-0.034839 -0.153663 -0.137571 -10.9728 -2.62576 7.76536 2 -99
-0.0094257 -0.168677 -0.164187 -10.9728 0.557487 8.14528 2 -98
-0.0392196 -0.14986 -0.13992 -10.3925 -3.13717 8.6798 2 -97
-0.0361116 -0.154235 -0.141161 -10.393 -2.53592 8.33195 2 -96
-0.0393998 -0.154608 -0.143072 -9.81455 -2.56583 8.77648 2 -95
-0.043803 -0.154717 -0.144592 -9.23714 -2.63656 9.17891 2 -94
-0.0286851 -0.130578 -0.139841 -13.3461 -4.12481 8.18869 2 -93
-0.0228219 -0.135965 -0.144402 -13.3409 -3.27413 8.06789 2 -92
-0.0007886 -0.155012 -0.167004 -13.3178 -0.207418 8.26188 2 -91
-0.0006483 -0.158742 -0.165396 -13.3205 0.0863571 7.59247 2 -90
-0.0324858 -0.124261 -0.145757 -12.7501 -5.08392 9.65293 2 -89
-0.0259736 -0.137461 -0.143627 -12.748 -3.43468 8.39164 2 -88
-0.0229057 -0.142186 -0.144763 -12.7467 -2.82492 8.03334 2 -87
-0.0021087 -0.159806 -0.165819 -12.7311 0.0811195 8.07266 2 -86
-0.0045403 -0.162937 -0.161235 -12.7355 0.144077 7.16478 2 -85
-0.0049473 -0.164114 -0.163432 -12.1454 0.264086 7.7753 2 -84
-0.0031158 -0.168231 -0.164377 -12.1454 0.73772 7.29089 2 -83
-0.0074283 -0.168352 -0.162328 -11.559 0.527008 7.56006 2 -82
-0.0412126 -0.150543 -0.144426 -9.79406 -3.02312 9.28319 2 -81
-0.0411545 -0.155203 -0.149359 -9.20935 -2.33568 9.48727 2 -80
-0.0165461 -0.137204 -0.152333 -13.3971 -2.74743 8.59482 2 -79
-0.027693 -0.125065 -0.153092 -12.7929 -4.65667 10.1603 2 -78
-0.0200209 -0.138375 -0.151084 -12.7905 -2.94714 8.89068 2 -77
-0.0369447 -0.151351 -0.151903 -9.76567 -2.55662 9.7726 2 -76
-0.0422034 -0.151561 -0.153517 -9.16376 -2.6452 10.1757 2 -75
-0.018346 -0.134514 -0.15395 -13.1312 -3.13156 9.21946 2 -74
-0.0434912 -0.147959 -0.150423 -9.43501 -3.21175 10.142 2 -73
-0.0352352 -0.153593 -0.160102 -9.44175 -1.97516 10.368 2 -72
-0.0436003 -0.152916 -0.156649 -8.82702 -2.40679 10.4384 2 -71
-0.0338893 -0.161854 -0.162692 -8.83419 -0.850115 9.9939 2 -70
-0.0211408 -0.124813 -0.16272 -13.1699 -4.148 10.787 2 -69
