e x y z beamid spotid
-4.22946e+06 -1.49192 2.2665 -39 2 1
-759536 -1.52393 0.225082 -39 2 2
-1.31349e+06 -1.22203 1.79181 -39 2 3
-815696 -0.620162 1.78547 -39 2 4
-1.94302e+06 -0.921242 2.31131 -39 2 5
-984224 -1.54905 -1.89608 -39 2 6
-3.97402e+06 -0.938484 -1.90186 -39 2 7
-978432 -1.85173 -0.300486 -39 2 8
-598272 -1.54552 0.231451 -39 2 9
-5.41546e+06 -0.935159 0.224376 -39 2 10
-1.2003e+06 -2.76699 1.2938 -39 2 11
383264 -3.0718 1.82804 -39 2 12
-2.44333e+06 -2.46013 1.8286 -39 2 13
-1.13114e+06 -1.23916 1.8209 -39 2 14
-1.68722e+06 -0.628897 1.81447 -39 2 15
627440 -2.19269 -1.92347 -39 2 16
-1.05592e+06 -1.5719 -1.92183 -39 2 17
-666400 -1.88104 -1.38143 -39 2 18
-1.28242e+06 -2.19048 -0.841872 -39 2 19
-1.4533e+06 -2.49984 -0.301183 -39 2 20
-958368 -2.8096 0.23832 -39 2 21
-783728 -2.80863 1.31711 -39 2 22
222448 -3.1177 1.86 -39 2 23
-1.6404e+06 -2.4967 1.85989 -39 2 24
55344 -2.24299 -2.23988 -39 2 25
-3.30163e+06 -0.974104 -2.24287 -39 2 26
237840 -2.55992 -1.68849 -39 2 27
-3.19955e+06 -1.2894 -1.68682 -39 2 28
-609584 -0.656614 -1.69558 -39 2 29
1.08939e+06 -2.55778 -0.581874 -39 2 30
-886624 -1.9224 -0.580801 -39 2 31
-4.02682e+06 -1.2879 -0.582959 -39 2 32
728480 -2.87432 -0.0281685 -39 2 33
-3.61955e+06 -0.970491 -0.0341515 -39 2 34
-828512 -0.336619 -0.042477 -39 2 35
-932000 -2.55551 0.525952 -39 2 36
588528 -0.653281 0.512634 -39 2 37
-2.43941e+06 -0.334449 2.16669 -39 2 38
82560 -2.27658 -2.27142 -39 2 39
-3.45485e+06 -0.988036 -2.27478 -39 2 40
33664 -2.59874 -1.7117 -39 2 41
1.15875e+06 -2.59668 -0.587938 -39 2 42
-2.03875e+06 -1.62723 -0.0245522 -39 2 43
237680 -1.94886 0.536896 -39 2 44
-3.63365e+06 -1.30398 0.535248 -39 2 45
-1.30437e+06 -0.0171847 1.64108 -39 2 46
-1.60301e+06 -0.339004 2.20216 -39 2 47
-547776 0.305735 2.19929 -39 2 48
-2.32005e+06 0.949559 2.19358 -39 2 49
-121584 -2.31479 -2.30806 -39 2 50
152992 -1.65853 -2.30821 -39 2 51
-3.11322e+06 -1.00333 -2.31042 -39 2 52
-4.12448e+06 -0.350858 -2.32039 -39 2 53
-655568 -0.676772 -1.74581 -39 2 54
-330240 -0.0221211 -1.75177 -39 2 55
-216720 -1.9836 -0.593488 -39 2 56
-2.44818e+06 -1.3272 -0.594232 -39 2 57
-1.70728e+06 -1.65367 -0.0212631 -39 2 58
-1.01738e+06 0.308577 -0.0416061 -39 2 59
-1.69494e+06 0.639426 1.66924 -39 2 60
-1.67677e+06 1.29364 1.66115 -39 2 61
-4.18733e+06 0.967322 2.23488 -39 2 62
1.68776e+06 -2.71213 -2.36727 -39 2 63
830736 -2.37412 -1.77995 -39 2 64
107712 0.654526 -0.040234 -39 2 65
422496 0.662628 -2.42514 -39 2 66
-1.15846e+06 0.321984 -1.82495 -39 2 67
185808 1.00643 -1.83028 -39 2 68
-1.42045e+06 -0.354323 1.76047 -39 2 69
-1.77939e+06 1.01396 1.74729 -39 2 70
-5.31557e+06 -0.692086 2.36334 -39 2 71
761968 -0.0113783 2.35225 -39 2 72
-449488 2.09259 -2.18924 -39 2 73
-947920 1.7425 -1.57247 -39 2 74
-1.8093e+06 2.44584 -1.57946 -39 2 75
-1.16163e+06 0.685628 -0.955355 -39 2 76
-1.13845e+06 0.335546 -0.339126 -39 2 77
512800 1.03988 -0.343625 -39 2 78
-2.21277e+06 -0.360517 2.11968 -39 2 79
-1.81978e+06 1.0456 2.10533 -39 2 80
-1.25229e+06 -0.0185674 -2.22154 -39 2 81
-864544 0.700524 -2.22603 -39 2 82
-439776 2.14036 -2.23516 -39 2 83
-939440 1.78275 -1.60477 -39 2 84
-1.88773e+06 2.50116 -1.6122 -39 2 85
535872 1.4225 -0.977345 -39 2 86
585072 1.06436 -0.348265 -39 2 87
-1.6031e+06 -0.366514 0.920393 -39 2 88
-1.25614e+06 -0.723079 1.55098 -39 2 89
-1.21058e+06 -0.00826954 1.54007 -39 2 90
-2.64858e+06 1.07106 2.15444 -39 2 91
-663776 0.353033 -2.28779 -39 2 92
1.26766e+06 1.09297 -2.29333 -39 2 93
-634928 2.20831 -1.65409 -39 2 94
251344 1.47007 -0.357827 -39 2 95
-1.32232e+06 2.21104 -0.364467 -39 2 96
-1.02733e+06 -0.376427 0.30582 -39 2 97
-136224 0.358684 0.294263 -39 2 98
-1.41038e+06 -0.00589061 0.946679 -39 2 99
-1.02026e+06 -0.00356495 2.23447 -39 2 100
-2.61344e+06 0.7383 2.22791 -39 2 101
-456560 1.4735 2.21552 -39 2 102
-2.62549e+06 -0.398966 -2.07908 -39 2 103
-894064 0.384723 -2.08992 -39 2 104
-825808 1.96602 -2.10294 -39 2 105
-2.51598e+06 2.75427 -2.11243 -39 2 106
-558496 -0.793087 -1.38634 -39 2 107
-1.06275e+06 -0.00611591 -1.3948 -39 2 108
-2.02592e+06 -0.398352 -0.700792 -39 2 109
-643408 2.36397 -0.0430138 -39 2 110
-1.47307e+06 0.392203 0.667592 -39 2 111
-1.22018e+06 1.17988 0.657547 -39 2 112
643136 2.76142 0.640121 -39 2 113
-2.04408e+06 0.788017 1.35041 -39 2 114
-576352 1.57498 1.33933 -39 2 115
-3.2956e+06 -0.414477 -2.89453 -39 2 116
-1.1968e+06 -0.00454963 -2.17769 -39 2 117
-1.93462e+06 2.47216 -2.20216 -39 2 118
-2.14485e+06 3.29391 -2.21403 -39 2 119
293712 1.23095 -1.47061 -39 2 120
-693584 0.818637 -0.746756 -39 2 121
-16784 1.64836 -0.752628 -39 2 122
237824 2.47593 0.675601 -39 2 123
1.24107e+06 3.30865 0.667505 -39 2 124
-462608 1.73573 -1.92643 -39 2 125
-1.97197e+06 2.60402 -1.93645 -39 2 126
-713728 2.17154 -1.17303 -39 2 127
-1.53272e+06 3.03789 -1.18504 -39 2 128
-555120 2.60677 -0.421428 -39 2 129
-873632 0.435809 0.361055 -39 2 130
-171840 1.38405 -0.426417 -39 2 131
-2.84979e+06 1.59527 1.86036 -39 3 0
-1.69261e+06 0.0134411 0.536096 -39 3 1
-675616 -0.32277 1.11057 -39 3 2
-1.1247e+06 0.0071767 1.67919 -39 3 3
-2.6852e+06 0.00970284 0.548859 -39 3 4
-81584 -0.668422 1.71307 -39 3 5
-1.20147e+06 0.349833 0.55934 -39 3 6
-1.05917e+06 0.706924 -0.0330688 -39 3 7
-1.38042e+06 1.40698 -0.0363888 -39 3 8
-754352 0.353117 0.571239 -39 3 9
-1.07734e+06 1.05129 0.567818 -39 3 10
-1.31806e+06 1.08312 -1.57176 -39 3 11
-1.87429e+06 2.51014 -1.5774 -39 3 12
-2.54344e+06 0.722855 -0.954063 -39 3 13
-1.14237e+06 1.78871 -0.344639 -39 3 14
-666048 -0.357017 0.893059 -39 3 15
-59632 -0.714435 1.50687 -39 3 16
-1.64867e+06 -0.0086062 1.50298 -39 3 17
-874448 1.10455 -1.60388 -39 3 18
-1.49763e+06 1.83315 -1.60674 -39 3 19
-1.21741e+06 2.56285 -1.61029 -39 3 20
-1.0428e+06 0.737239 -0.973683 -39 3 21
-1.21061e+06 2.19027 -0.979303 -39 3 22
-1.15274e+06 1.82443 -0.35087 -39 3 23
-1.92619e+06 1.45519 0.277273 -39 3 24
-1.10598e+06 0.357528 0.909413 -39 3 25
-1.02909e+06 1.08406 0.904731 -39 3 26
328544 -0.733479 1.54099 -39 3 27
-1.70794e+06 -0.0125351 1.53607 -39 3 28
-1.24347e+06 1.13457 -1.64942 -39 3 29
-1.35024e+06 1.88545 -1.65281 -39 3 30
-1.0721e+06 2.63627 -1.65635 -39 3 31
-987632 0.0106127 -1.00003 -39 3 32
-737232 0.756418 -1.0007 -39 3 33
-1.19837e+06 0.376393 -0.352327 -39 3 34
-1.12371e+06 1.12348 -0.3562 -39 3 35
-1.41982e+06 1.87552 -0.360386 -39 3 36
-2.29568e+06 -1.50581 0.30387 -39 3 37
-962800 -0.745332 0.296923 -39 3 38
-729200 0.744813 0.290775 -39 3 39
-1.49856e+06 1.49578 0.28623 -39 3 40
-2.10912e+06 -1.12817 0.946081 -39 3 41
-2.12307e+06 -1.51149 1.59275 -39 3 42
-1.15946e+06 0.404901 -2.05686 -39 3 43
-1.54595e+06 1.96656 -2.05986 -39 3 44
-1.34139e+06 2.75053 -2.06371 -39 3 45
-1.23491e+06 2.3534 -1.38698 -39 3 46
-1.95979e+06 -1.57391 -0.0179066 -39 3 47
-1.75806e+06 1.5594 -0.0363007 -39 3 48
-2.32464e+06 -1.17867 0.652103 -39 3 49
-1.00698e+06 -1.18293 1.99594 -39 3 50
654384 2.72746 3.31135 -39 3 51
-955520 0.421932 -2.15075 -39 3 52
-1.29683e+06 2.05847 -2.15544 -39 3 53
-1.07853e+06 2.87832 -2.15924 -39 3 54
-1.27094e+06 -0.406572 -0.731089 -39 3 55
-346416 0.407887 -0.734215 -39 3 56
-2.01256e+06 -0.819285 -0.02314 -39 3 57
-910192 0.808657 -0.0327724 -39 3 58
-1.25189e+06 -1.65716 1.3895 -39 3 59
154448 0.800534 1.37282 -39 3 60
-1.5113e+06 -2.0703 2.09457 -39 3 61
-1.3465e+06 0.00788713 -2.24765 -39 3 62
-1.3225e+06 0.865855 -2.25084 -39 3 63
-1.5856e+06 -0.856114 -0.762493 -39 3 64
-768720 -0.00081844 -0.765851 -39 3 65
-1.73578e+06 -2.16274 -0.0154896 -39 3 66
-2.55574e+06 -1.29951 -0.0199024 -39 3 67
-1.35536e+06 -2.59749 0.724308 -39 3 68
-1.72005e+06 -1.73774 0.719062 -39 3 69
-1.61504e+06 -2.17054 1.45871 -39 3 70
2.00398e+06 0.834376 2.17483 -39 3 71
-1.64182e+06 0.464885 -2.75901 -39 3 72
-81248 1.36153 -2.75818 -39 3 73
-1.55213e+06 -0.897574 -1.96952 -39 3 74
-1.10787e+06 0.906893 -1.97653 -39 3 75
-1.39293e+06 1.80861 -1.98122 -39 3 76
-1.69134e+06 -1.36103 -1.18563 -39 3 77
-1.0961e+06 -1.82288 -0.406646 -39 3 78
-1.3332e+06 -2.28153 0.37175 -39 3 79
-1.72611e+06 0.42599 1.90503 -39 3 80
684816 0.865354 2.67053 -39 3 81
659648 1.76976 2.66478 -39 3 82
-822880 0.933305 -2.03999 -39 3 83
-1.27272e+06 1.86501 -2.0453 -39 3 84
-1.61634e+06 -1.40856 -1.22395 -39 3 85
-546480 -0.465102 -1.22951 -39 3 86
-1.75534e+06 -0.941563 -0.423062 -39 3 87
-884496 -2.36724 1.98345 -39 3 88
370160 0.438889 1.96762 -39 3 89
-984672 -2.83592 2.78633 -39 3 90
-1.30122e+06 -1.90597 2.77797 -39 3 91
-203808 0.887932 2.755 -39 3 92
2.552e+06 1.82619 2.75145 -39 3 93
-421408 0.473339 -2.05908 -39 3 94
-1.93139e+06 -0.943932 -1.23939 -39 3 95
-918672 -0.011585 -1.24575 -39 3 96
-1.47346e+06 0.430445 1.17075 -39 3 97
-755408 1.37454 1.1652 -39 3 98
-474512 -0.0387958 1.98609 -39 3 99
-445312 0.895172 1.9734 -39 3 100
-763952 0.468684 -2.07816 -39 3 101
-724960 -2.88676 0.390397 -39 3 102
-1.16832e+06 -1.93966 0.381514 -39 3 103
-1.13643e+06 0.910911 0.35984 -39 3 104
-1.55781e+06 0.428816 1.1775 -39 3 105
-901152 1.38157 1.17181 -39 3 106
-661424 1.85237 1.98289 -39 3 107
-1.35106e+06 -2.95266 -2.97159 -39 3 108
-1.72835e+06 -3.44732 -2.12271 -39 3 109
-1.36424e+06 -2.46606 -2.12752 -39 3 110
-947776 0.96149 -1.30425 -39 3 111
-1.1793e+06 -0.0452844 0.375276 -39 3 112
-1.13085e+06 -1.03568 2.06257 -39 3 113
-1.49458e+06 0.496047 -1.81083 -39 3 114
-798208 -1.61002 -1.84835 -39 3 115
-282048 -0.543104 -1.85001 -39 3 116
-1.39288e+06 0.50858 -1.86066 -39 3 117
-1.20421e+06 1.10091 -1.97815 -39 3 118
-1.03075e+06 -0.0283583 -2.03857 -39 3 119
